[2026-01-30 14:58:37] ENCRYPTED_URL - Module: artes_marciales, Controller: dashboard, Action: index - IP: ::1 - User: superadmin
[2026-01-30 15:03:05] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-01-30 15:31:37] ENCRYPTED_URL - Module: artes_marciales, Controller: dashboard, Action: index - IP: ::1 - User: superadmin
[2026-01-30 15:31:42] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-01-30 15:31:46] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-01-30 15:31:50] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: index - IP: ::1 - User: superadmin
[2026-01-30 15:31:52] ENCRYPTED_URL - Module: seguridad, Controller: dashboard, Action: index - IP: ::1 - User: superadmin
[2026-01-30 15:32:06] ENCRYPTED_URL - Module: artes_marciales, Controller: dashboard, Action: index - IP: ::1 - User: superadmin
[2026-01-30 15:32:10] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-01-30 15:32:17] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: editar - IP: ::1 - User: superadmin
