[2026-02-03 16:32:39] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: editar - IP: ::1 - User: superadmin
[2026-02-03 16:32:46] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: index - IP: ::1 - User: superadmin
[2026-02-03 16:32:53] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: crear - IP: ::1 - User: superadmin
[2026-02-03 16:33:08] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: index - IP: ::1 - User: superadmin
[2026-02-03 16:33:16] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: index - IP: ::1 - User: superadmin
[2026-02-03 16:33:33] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: index - IP: ::1 - User: superadmin
[2026-02-03 16:33:36] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-02-03 16:33:41] ENCRYPTED_URL - Module: seguridad, Controller: asignacion, Action: modulos - IP: ::1 - User: superadmin
[2026-02-03 16:38:38] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-02-03 16:39:07] ENCRYPTED_URL - Module: seguridad, Controller: asignacion, Action: modulos - IP: ::1 - User: superadmin
[2026-02-03 16:40:27] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-02-03 16:50:53] ENCRYPTED_URL - Module: seguridad, Controller: auditoria, Action: accesos - IP: ::1 - User: superadmin
[2026-02-03 16:50:58] ENCRYPTED_URL - Module: seguridad, Controller: auditoria, Action: cambios - IP: ::1 - User: superadmin
[2026-02-03 16:51:02] ENCRYPTED_URL - Module: seguridad, Controller: auditoria, Action: alertas - IP: ::1 - User: superadmin
[2026-02-03 16:51:06] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: configuracion - IP: ::1 - User: superadmin
[2026-02-03 16:51:18] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-02-03 16:51:27] ENCRYPTED_URL - Module: seguridad, Controller: asignacion, Action: modulos - IP: ::1 - User: superadmin
[2026-02-03 16:51:39] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-02-03 16:51:45] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-02-03 16:51:46] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-02-03 16:56:32] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-02-03 16:56:43] ENCRYPTED_URL - Module: seguridad, Controller: plan, Action: index - IP: ::1 - User: superadmin
[2026-02-03 17:11:43] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-02-03 17:13:02] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-02-03 17:13:04] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-02-03 17:20:51] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-02-03 17:20:54] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-02-03 17:21:00] ENCRYPTED_URL - Module: seguridad, Controller: rol, Action: index - IP: ::1 - User: superadmin
[2026-02-03 17:21:07] ENCRYPTED_URL - Module: seguridad, Controller: rol, Action: permisos - IP: ::1 - User: superadmin
[2026-02-03 17:21:25] ENCRYPTED_URL - Module: seguridad, Controller: rol, Action: crear - IP: ::1 - User: superadmin
[2026-02-03 17:50:48] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-02-03 17:50:51] ENCRYPTED_URL - Module: seguridad, Controller: rol, Action: crear - IP: ::1 - User: superadmin
[2026-02-03 17:50:53] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: index - IP: ::1 - User: superadmin
